A001ABANO TERME                                       PD35031D3AB
D266DELEBIO                                           SO23014C8BE
D267DELIA                                             CL93010U3AF
D268DELIANUOVA                                        RC89012T1BK
D269DELICETO                                          FG71026R3AY
D270DELLO                                             BS25020C3EF
D271DEMONTE                                           CN12014A4DJ
D273DENNO                                             TN38010E1FA
D277DERNICE                                           AL15056A2DR
D278DEROVERE                                          CR26040C5DP
D279DERUTA                                            PG06053L1BF
D281DESANA                                            VC13034A6CS
D284DESENZANO DEL GARDA                               BS25015C3EG
D286DESIO                                             MI20033C1HV
D287DESULO                                            NU08032V2AS
D289DIAMANTE                                          CS87023T3CA
D293DIANO ARENTINO                                    IM18010G2BP
D296DIANO CASTELLO                                    IM18010G2BS
D291DIANO D'ALBA                                      CN12055A4DK
D297DIANO MARINA                                      IM18013G2BT
D298DIANO SAN PIETRO                                  IM00000G2BU
D299DICOMANO                                          FI50062I1AQ
D300DIGNANO                                           UD33030F6BR
D302DIMARO                                            TN38025E1FD
D304DIPIGNANO                                         CS87045T3CC
D305DISO                                              LE73030R4BC
D309DIVIGNANO                                         NO28010A5ES
D310DIZZASCO                                          CO22020C4GV
D311DOBBIACO                                          BZ39034E2CB
D311TOBLACH                                           BZ39034E2CB
D312DOBERDO' DEL LAGO                                 GO34070F3BH
D314DOGLIANI                                          CN12063A4DL
D315DOGLIOLA                                          CH66050N2BD
D316DOGNA                                             UD33010F6BS
D317DOLCE'                                            VR37020D6BQ
D318DOLCEACQUA                                        IM18035G2BV
D319DOLCEDO                                           IM18024G2BW
D321DOLEGNA DEL COLLIO                                GO34070F3BJ
D323DOLIANOVA                                         CA09041V1BQ
D325DOLO                                              VE30031D1AQ
D328DOMANICO                                          CS87030T3CD
D329DOMASO                                            CO22013C4GX
D330DOMEGGE DI CADORE                                 BL32040D2AW
D331DOMICELLA                                         AV83020Q2BH
D333DOMUS DE MARIA                                    CA09010V1BR
D334DOMUSNOVAS                                        CA09015V1BS
D336DON                                               TN38011E1FE
D341DONGO                                             CO22014C4GY
D338DONNAS                                            AO11020B1BB
D344DONORI                                            CA09040V1BW
D345DORGALI                                           NU08022V2AT
D347DORMELLETTO                                       NO28040A5EU
D348DORNO                                             PV27020C7DU
D349DORSINO                                           TN38070E1FF
D351DOSOLO                                            MN46030C6AZ
D352DOSSENA                                           BG24010C2EZ
D355DOSSO DEL LIRO                                    CO22015C4HA
D356DOUES                                             AO11010B1BC
D357DOVADOLA                                          FO47013H3AL
D358DOVERA                                            CR26010C5DS
D360DOZZA                                             BO40050H1BE
D361DRAGONI                                           CE81010Q4BQ
D365DRENA                                             TN38074E1FG
D366DRENCHIA                                          UD33040F6BT
D367DRESANO                                           MI20070C1HW
D369DREZZO                                            CO22020C4HD
D370DRIZZONA                                          CR26034C5DT
D371DRO                                               TN38074E1FH
D372DRONERO                                           CN12025A4DM
D373DRUENTO                                           TO10040A1EV
D376DUALCHI                                           NU08010V2AU
D377DUBINO                                            SO23015C8BF
D379DUEVILLE                                          VI36031D7BQ
D380DUGENTA                                           BN82030Q3BE
D383DUINO-AURISINA                                    TS00000F1AR
D384DUMENZA                                           VA21010C9DV
D385DUNO                                              VA21030C9DW
D386DURAZZANO                                         BN82015Q3BF
C772DURONIA                                           CB86020P1BD
D388DUSINO SAN MICHELE                                AT00000A3CC
D390EBOLI                                             SA84025Q5CD
D391EDOLO                                             BS25048C3EH
D392EGNA                                              BZ39044E2CC
D392NEUMARKT                                          BZ39044E2CC
D394ELICE                                             PE65010N3AU
D395ELINI                                             NU08040V2AV
D401ELVA                                              CN12020A4DN
D402EMARESE                                           AO11020B1BE
D403EMPOLI                                            FI50053I1AR
D406ENDINE GAIANO                                     BG00000C2FC
D407ENEGO                                             VI36052D7BR
D408ENEMONZO                                          UD33020F6BU
C342ENNA                                              EN94100U5AA
D410ENTRACQUE                                         CN12010A4DP
D411ENTRATICO                                         BG24069C2FD
D412ENVIE                                             CN12030A4DQ
D414EPISCOPIA                                         PZ85033S1BG
D415ERACLEA                                           VE30020D1AR
D416ERBA                                              CO22036C4HF
D419ERBE'                                             VR37060D6BR
D420ERBEZZO                                           VR37020D6BS
D421ERBUSCO                                           BS25030C3EJ
D422ERCHIE                                            BR72020R2AF
H243ERCOLANO                                          NA80056Q1CX
D423ERICE                                             TP91016U9AI
D424ERLI                                              SV17030G4BL
D426ERTO E CASSO                                      PN33080F5AU
M292ERULA                                             SS00000V3DS
D429ESANATOGLIA                                       MC62023K3AR
D430ESCALAPLANO                                       NU08043V2AW
D431ESCOLCA                                           NU08030V2AX
D434ESINE                                             BS25040C3EK
D440ESPERIA                                           FR03045M2BH
D441ESPORLATU                                         SS07010V3BE
D442ESTE                                              PD35042D3BM
D443ESTERZILI                                         NU08030V2AY
D444ETROUBLES                                         AO11014B1BF
D445EUPILIO                                           CO22030C4HK
D433EXILLES                                           TO10050A1EW
D447FABBRICA CURONE                                   AL15050A2DS
D449FABBRICHE DI VALLICO                              LU55020I5AM
D450FABBRICO                                          RE42042H8AW
D451FABRIANO                                          AN60044K1AR
D452FABRICA DI ROMA                                   VT01034M5BC
D454FABRO                                             TR05015L2AN
D455FAEDIS                                            UD33040F6BV
D457FAEDO                                             TN38010E1FK
D456FAEDO VALTELLINO                                  SO23100C8BG
D458FAENZA                                            RA48018H7AK
D459FAETO                                             FG71020R3AZ
D461FAGAGNA                                           UD33034F6BW
D462FAGGETO LARIO                                     CO22020C4HM
D463FAGGIANO                                          TA74020R5AF
D465FAGNANO ALTO                                      AQ67020N1BW
D464FAGNANO CASTELLO                                  CS87013T3CE
D467FAGNANO OLONA                                     VA21054C9DY
D469FAICCHIO                                          BN82030Q3BG
D468FAI DELLA PAGANELLA                               TN38010E1FL
D470FALCADE                                           BL32020D2AX
D471FALCIANO DEL MASSICO                              CE81030Q4BR
D473FALCONARA ALBANESE                                CS87030T3CF
D472FALCONARA MARITTIMA                               AN60015K1AS
D474FALCONE                                           ME98060U6AW
D475FALERIA                                           VT01030M5BD
D476FALERNA                                           CZ88040T2BX
D477FALERONE                                          AP63022K2AW
D480FALLO                                             CH66040N2BF
D482FALOPPIO                                          CO22020C4HN
D483FALVATERRA                                        FR03020M2BI
D484FALZES                                            BZ39030E2CF
D484PFALZEN                                           BZ39030E2CF
D486FANANO                                            MO41021H4AL
D487FANNA                                             PN33092F5AV
D488FANO                                              PS61032K4AQ
D489FANO ADRIANO                                      TE64044N4BA
D494FARA FILIORUM PETRI                               CH66010N2BG
D490FARA GERA D'ADDA                                  BG24045C2FG
D493FARA IN SABINA                                    RI02032M4BE
D492FARA NOVARESE                                     NO28073A5EY
D491FARA OLIVANA CON SOLA                             BG24058C2FH
D495FARA SAN MARTINO                                  CH00000N2BH
D496FARA VICENTINO                                    VI36030D7BS
D497FARDELLA                                          PZ85030S1BH
D499FARIGLIANO                                        CN12060A4DR
D501FARINDOLA                                         PE65010N3AV
D502FARINI                                            PC29023H6AV
D503FARNESE                                           VT01010M5BE
D506FARRA D'ALPAGO                                    BL32010D2AY
D505FARRA DI SOLIGO                                   TV31010D5BD
D504FARRA D'ISONZO                                    GO34070F3BP
D508FASANO                                            BR72015R2AG
D509FASCIA                                            GE16020G1BQ
D510FAUGLIA                                           PI56043I7AT
D511FAULE                                             CN12030A4DS
D512FAVALE DI MALVARO                                 GE16040G1BR
D514FAVARA                                            AG92026U2AR
D516FAVER                                             TN38030E1FN
D518FAVIGNANA                                         TP91023U9AJ
D520FAVRIA                                            TO10083A1EY
D523FEISOGLIO                                         CN12050A4DT
D524FELETTO                                           TO10080A1FA
D526FELINO                                            PR43035H5AR
D527FELITTO                                           SA84055Q5CE
D528FELIZZANO                                         AL15023A2DT
D529FELONICA                                          MN46022C6BA
D530FELTRE                                            BL32032D2AZ
D531FENEGRO'                                          CO00000C4HP
D532FENESTRELLE                                       TO10060A1FB
D537FENIS                                             AO11020B1BG
D538FERENTILLO                                        TR05034L2AP
D539FERENTINO                                         FR03013M2BJ
D540FERLA                                             SR96010U8AJ
D541FERMIGNANO                                        PS61033K4AS
D542FERMO                                             AP63023K2AX
D543FERNO                                             VA21010C9DZ
D544FEROLETO ANTICO                                   CZ88043T2BY
D545FEROLETO DELLA CHIESA                             RC89050T1BL
D547FERRANDINA                                        MT75013S2AJ
D548FERRARA                                           FE44100H2AA
D549FERRARA DI MONTE BALDO                            VR37020D6BT
D550FERRAZZANO                                        CB86010P1BH
D551FERRERA DI VARESE                                 VA21030C9EA
D552FERRERA ERBOGNONE                                 PV27032C7DV
D554FERRERE                                           AT14012A3CD
D555FERRIERE                                          PC29024H6AW
D557FERRUZZANO                                        RC89030T1BM
D560FIAMIGNANO                                        RI02023M4BF
D562FIANO                                             TO10070A1FF
D561FIANO ROMANO                                      RM00065M1BW
D564FIASTRA                                           MC62033K3AS
D565FIAVE'                                            TN38075E1FQ
D567FICARAZZI                                         PA90010U1BK
D568FICAROLO                                          RO45036D4BE
D569FICARRA                                           ME98062U6AX
D570FICULLE                                           TR05016L2AQ
B034FIDENZA                                           PR43036H5AH
D571FIE' ALLO SCILIAR                                 BZ39050E2CE
D571VOELS AM SCHLERN                                  BZ39050E2CE
D572FIERA DI PRIMIERO                                 TN38054E1FR
D573FIEROZZO                                          TN38050E1FS
D574FIESCO                                            CR26010C5DX
D575FIESOLE                                           FI50014I1AS
D576FIESSE                                            BS25020C3EN
D578FIESSO D'ARTICO                                   VE30032D1AT
D577FIESSO UMBERTIANO                                 RO45024D4BF
D579FIGINO SERENZA                                    CO22060C4HR
D583FIGLINE VALDARNO                                  FI50063I1AT
D582FIGLINE VEGLIATURO                                CS87050T3CG
D586FILACCIANO                                        RM00060M1BX
D588FILAGO                                            BG24040C2FI
D590FILATTIERA                                        MS54023I6AK
D591FILETTINO                                         FR03010M2BK
D592FILETTO                                           CH66030N2BI
D593FILIANO                                           PZ85020S1BK
D594FILIGHERA                                         PV27010C7DW
D595FILIGNANO                                         IS86074P2AU
D597FILOTTRANO                                        AN60024K1AT
D599FINALE EMILIA                                     MO41034H4AM
D600FINALE LIGURE                                     SV17024G4BP
D604FINO DEL MONTE                                    BG24020C2FJ
D605FINO MORNASCO                                     CO22073C4HT
D608FIORANO CANAVESE                                  TO10010A1FG
D607FIORANO MODENESE                                  MO41042H4AN
D609FIORDIMONTE                                       MC62030K3AU
D611FIORENZUOLA D'ARDA                                PC29017H6AX
D612FIRENZE                                           FI50100I1AA
D613FIRENZUOLA                                        FI50033I1AU
D614FIRMO                                             CS87010T3CH
D615FISCIANO                                          SA84084Q5CF
A310FIUGGI                                            FR03014M2AH
D617FIUMALBO                                          MO41022H4AP
D619FIUMARA                                           RC89050T1BN
D622FIUMEDINISI                                       ME98022U6AY
D624FIUMEFREDDO BRUZIO                                CS87030T3CI
D623FIUMEFREDDO DI SICILIA                            CT95013U4AR
D621FIUME VENETO                                      PN33080F5AW
D627FIUMICELLO                                        UD33050F6BZ
D628FIUMINATA                                         MC62020K3AV
D629FIVIZZANO                                         MS54034I6AL
D630FLAIBANO                                          UD33030F6CA
D631FLAVON                                            TN38010E1FU
D634FLERO                                             BS25020C3EQ
D635FLORESTA                                          ME98030U6AZ
D636FLORIDIA                                          SR96014U8AK
D637FLORINAS                                          SS07030V3BF
D638FLUMERI                                           AV83040Q2BI
D639FLUMINIMAGGIORE                                   CA09010V1CB
D640FLUSSIO                                           NU08010V2AZ
D641FOBELLO                                           VC13025A6CY
D643FOGGIA                                            FG71100R3AA
D644FOGLIANISE                                        BN82030Q3BH
D645FOGLIANO REDIPUGLIA                               GO34070F3BQ
D646FOGLIZZO                                          TO10090A1FH
D649FOIANO DELLA CHIANA                               AR52045I2AT
D650FOIANO DI VAL FORTORE                             BN82020Q3BI
D651FOLGARIA                                          TN38064E1FW
D652FOLIGNANO                                         AP63040K2AY
D653FOLIGNO                                           PG06034L1BG
D654FOLLINA                                           TV31051D5BE
D655FOLLO                                             SP19020G3AN
D656FOLLONICA                                         GR58022I3AJ
D661FONDACHELLI-FANTINA                               ME00000U6BA
D662FONDI                                             LT04022M3AI
D663FONDO                                             TN38013E1FX
D665FONNI                                             NU08023V2BA
D666FONTAINEMORE                                      AO11020B1BH
D670FONTANAFREDDA                                     PN33074F5AX
D667FONTANA LIRI                                      FR03035M2BL
D671FONTANAROSA                                       AV83040Q2BJ
D668FONTANELICE                                       BO40025H1BF
D672FONTANELLA                                        BG24056C2FN
D673FONTANELLATO                                      PR43012H5AS
D674FONTANELLE                                        TV31043D5BF
D675FONTANETO D'AGOGNA                                NO28010A5FC
D676FONTANETTO PO                                     VC13040A6CZ
D677FONTANIGORDA                                      GE16023G1BT
D678FONTANILE                                         AT14044A3CE
D679FONTANIVA                                         PD35014D3BN
D680FONTE                                             TV31010D5BG
D681FONTECCHIO                                        AQ67020N1BX
D682FONTECHIARI                                       FR03030M2BM
D683FONTEGRECA                                        CE81010Q4BT
D685FONTEVIVO                                         PR43010H5AT
D686FONZASO                                           BL32030D2BA
D688FOPPOLO                                           BG24010C2FQ
D689FORANO                                            RI02044M4BG
D691FORCE                                             AP63045K2AZ
D693FORCHIA                                           BN82010Q3BJ
D694FORCOLA                                           SO23010C8BH
D695FORDONGIANUS                                      OR09083V4AV
D696FORENZA                                           PZ85023S1BL
D697FORESTO SPARSO                                    BG24060C2FR
D700FORGARIA NEL FRIULI                               UD33030F6CB
D701FORINO                                            AV83020Q2BK
D702FORIO                                             NA80075Q1BI
D704FORLI'                                            FO47100H3AA
D703FORLI' DEL SANNIO                                 IS86010P2AV
D705FORLIMPOPOLI                                      FO47034H3AN
D707FORMELLO                                          RM00060M1BY
D708FORMIA                                            LT04023M3AJ
D709FORMICOLA                                         CE81040Q4BU
D710FORMIGARA                                         CR26020C5DZ
D711FORMIGINE                                         MO41043H4AQ
D712FORMIGLIANA                                       VC13030A6DB
D713FORMIGNANA                                        FE44035H2AI
D714FORNACE                                           TN38040E1FY
D715FORNELLI                                          IS86070P2AW
D718FORNI AVOLTRI                                     UD33020F6CC
D719FORNI DI SOPRA                                    UD33024F6CD
D720FORNI DI SOTTO                                    UD33020F6CE
D725FORNO CANAVESE                                    TO10084A1FK
D726FORNO DI ZOLDO                                    BL32012D2BB
D728FORNOVO DI TARO                                   PR43045H5AU
D727FORNOVO SAN GIOVANNI                              BG00000C2FS
D730FORTE DEI MARMI                                   LU55042I5AN
D731FORTEZZA                                          BZ39045E2CK
D731FRANZENSFESTE                                     BZ39045E2CK
D732FORTUNAGO                                         PV27040C7DY
D733FORZA D'AGRO'                                     ME98030U6BB
D734FOSCIANDORA                                       LU55020I5AP
D735FOSDINOVO                                         MS54035I6AM
D736FOSSA                                             AQ67020N1BY
D738FOSSACESIA                                        CH66022N2BK
D740FOSSALTA DI PIAVE                                 VE30020D1AU
D741FOSSALTA DI PORTOGRUARO                           VE30025D1AV
D737FOSSALTO                                          CB86020P1BJ
D742FOSSANO                                           CN12045A4DU
D745FOSSATO DI VICO                                   PG06022L1BH
D744FOSSATO SERRALTA                                  CZ88050T2CD
D748FOSSO'                                            VE30030D1AW
D749FOSSOMBRONE                                       PS61034K4AU
D750FOZA                                              VI36010D7BV
D751FRABOSA SOPRANA                                   CN12082A4DV
D752FRABOSA SOTTANA                                   CN12083A4DW
D559FRACONALTO                                        AL15060A2DU
D754FRAGAGNANO                                        TA74022R5AG
D755FRAGNETO L'ABATE                                  BN82020Q3BK
D756FRAGNETO MONFORTE                                 BN82020Q3BL
D757FRAINE                                            CH66050N2BL
D758FRAMURA                                           SP19014G3AP
D763FRANCAVILLA AL MARE                               CH66023N2BM
D759FRANCAVILLA BISIO                                 AL15060A2DW
D760FRANCAVILLA D'ETE                                 AP63020K2BA
D765FRANCAVILLA DI SICILIA                            ME98034U6BC
D761FRANCAVILLA FONTANA                               BR72021R2AH
D766FRANCAVILLA IN SINNI                              PZ85034S1BM
D764FRANCAVILLA MARITTIMA                             CS87072T3CJ
D768FRANCOFONTE                                       SR96015U8AL
D769FRANCOLISE                                        CE81040Q4BV
D770FRASCARO                                          AL15010A2DX
D771FRASCAROLO                                        PV27030C7EA
D773FRASCATI                                          RM00044M1BZ
D774FRASCINETO                                        CS87010T3CK
D775FRASSILONGO                                       TN38050E1GA
D776FRASSINELLE POLESINE                              RO45030D4BG
D777FRASSINELLO MONFERRATO                            AL15035A2DZ
D780FRASSINETO PO                                     AL15040A2EB
D781FRASSINETTO                                       TO10080A1FM
D782FRASSINO                                          CN12020A4DX
D783FRASSINORO                                        MO41044H4AR
D785FRASSO SABINO                                     RI02030M4BH
D784FRASSO TELESINO                                   BN82030Q3BM
D789FRATTAMAGGIORE                                    NA80027Q1BJ
D790FRATTAMINORE                                      NA80020Q1BK
D788FRATTA POLESINE                                   RO45025D4BH
D787FRATTA TODINA                                     PG06054L1BJ
D791FRATTE ROSA                                       PS61040K4AV
D793FRAZZANO'                                         ME98070U6BD
D794FREGONA                                           TV31010D5BH
D796FRESAGRANDINARIA                                  CH66050N2BN
D797FRESONARA                                         AL15064A2EC
D798FRIGENTO                                          AV83040Q2BL
D799FRIGNANO                                          CE81030Q4BW
D802FRINCO                                            AT14030A3CF
D803FRISA                                             CH66030N2BP
D804FRISANCO                                          PN33080F5AZ
D805FRONT                                             TO10070A1FN
D807FRONTINO                                          PS61020K4AW
D808FRONTONE                                          PS61040K4AX
D810FROSINONE                                         FR03100M2AA
D811FROSOLONE                                         IS86044P2AX
D812FROSSASCO                                         TO10060A1FP
D813FRUGAROLO                                         AL15065A2ED
D814FUBINE                                            AL15043A2EE
D815FUCECCHIO                                         FI50054I1AV
D817FUIPIANO VALLE IMAGNA                             BG24030C2FV
D818FUMANE                                            VR37022D6BU
D819FUMONE                                            FR03010M2BN
D821FUNES                                             BZ39040E2CM
D821VILLNOESS                                         BZ39040E2CM
D823FURCI                                             CH66050N2BQ
D824FURCI SICULO                                      ME98023U6BE
D825FURNARI                                           ME98054U6BF
D827FURTEI                                            CA09040V1CD
D828FUSCALDO                                          CS87020T3CL
D829FUSIGNANO                                         RA48010H7AM
D830FUSINE                                            SO23010C8BI
D832FUTANI                                            SA84050Q5CI
D834GABBIONETA BINANUOVA                              CR26030C5ED
D835GABIANO                                           AL15020A2EF
D836GABICCE MARE                                      PS61011K4AZ
D839GABY                                              AO11020B1BI
D841GADESCO PIEVE DELMONA                             CR26030C5EF
D842GADONI                                            NU08030V2BB
D843GAETA                                             LT04024M3AK
D844GAGGI                                             ME98030U6BG
D845GAGGIANO                                          MI20083C1ID
D847GAGGIO MONTANO                                    BO40041H1BG
D850GAGLIANO ATERNO                                   AQ67020N1BZ
D849GAGLIANO CASTELFERRATO                            EN94010U5AJ
D851GAGLIANO DEL CAPO                                 LE73034R4BD
D852GAGLIATO                                          CZ88060T2CG
D853GAGLIOLE                                          MC62020K3AW
D854GAIARINE                                          TV31018D5BI
D855GAIBA                                             RO45030D4BI
D856GAIOLA                                            CN12010A4DY
D858GAIOLE IN CHIANTI                                 SI53013I9AP
D859GAIRO                                             NU08040V2BC
D860GAIS                                              BZ39030E2CN
D860GAIS                                              BZ39030E2CN
D861GALATI MAMERTINO                                  ME98070U6BH
D862GALATINA                                          LE73013R4BE
D863GALATONE                                          LE73044R4BF
D864GALATRO                                           RC89054T1BQ
D867GALEATA                                           FO47010H3AP
D869GALLARATE                                         VA21013C9EB
D870GALLESE                                           VT01035M5BF
D872GALLIATE                                          NO28066A5FJ
D871GALLIATE LOMBARDO                                 VA21020C9EC
D873GALLIAVOLA                                        PV27034C7EB
D874GALLICANO                                         LU55027I5AQ
D875GALLICANO NEL LAZIO                               RM00010M1CA
D876GALLICCHIO                                        PZ85010S1BN
D878GALLIERA                                          BO40010H1BH
D879GALLIERA VENETA                                   PD35015D3BP
D881GALLINARO                                         FR03040M2BP
D882GALLIO                                            VI36032D7BW
D883GALLIPOLI                                         LE73014R4BG
D885GALLODORO                                         ME98030U6BI
D884GALLO MATESE                                      CE00000Q4BZ
D886GALLUCCIO                                         CE81045Q4CA
D888GALTELLI                                          NU08020V2BD
D889GALZIGNANO TERME                                  PD35030D3BQ
D890GAMALERO                                          AL15010A2EG
D891GAMBARA                                           BS25020C3ET
D892GAMBARANA                                         PV27030C7EC
D894GAMBASCA                                          CN12030A4EA
D895GAMBASSI TERME                                    FI50050I1AX
D896GAMBATESA                                         CB86013P1BK
D897GAMBELLARA                                        VI36053D7BX
D898GAMBERALE                                         CH66040N2BR
D899GAMBETTOLA                                        FO47035H3AQ
D901GAMBOLO'                                          PV27025C7ED
D902GAMBUGLIANO                                       VI36050D7BY
D903GANDELLINO                                        BG24020C2FW
D905GANDINO                                           BG24024C2FX
D906GANDOSSO                                          BG24060C2FY
D907GANGI                                             PA90024U1BL
D909GARAGUSO                                          MT75010S2AK
D910GARBAGNA                                          AL15050A2EH
D911GARBAGNA NOVARESE                                 NO28070A5FK
D912GARBAGNATE MILANESE                               MI20024C1IF
D915GARDA                                             VR37016D6BV
D917GARDONE RIVIERA                                   BS25083C3EU
D918GARDONE VAL TROMPIA                               BS25063C3EV
D920GARESSIO                                          CN12075A4EB
D921GARGALLO                                          NO28010A5FL
D923GARGAZZONE                                        BZ39010E2CP
D923GARGAZON                                          BZ39010E2CP
D924GARGNANO                                          BS25084C3EW
D925GARLASCO                                          PV27026C7EE
D927GARLENDA                                          SV17033G4BS
D930GARZENO                                           CO22010C4HZ
D931GARZIGLIANA                                       TO10060A1FQ
D932GASPERINA                                         CZ88060T2CH
D933GASSINO TORINESE                                  TO10090A1FR
D934GATTATICO                                         RE42043H8AX
D935GATTEO                                            FO47030H3AR
D937GATTICO                                           NO28013A5FM
D938GATTINARA                                         VC13045A6DD
D940GAVARDO                                           BS25085C3EX
D942GAVELLO                                           RO45010D4BJ
D943GAVERINA TERME                                    BG00000C2FZ
D944GAVI                                              AL15066A2EJ
D945GAVIGNANO                                         RM00030M1CB
D946GAVIRATE                                          VA21026C9EE
D947GAVOI                                             NU08020V2BE
D948GAVORRANO                                         GR58023I3AK
D949GAZOLDO DEGLI IPPOLITI                            MN46040C6BB
D951GAZZADA SCHIANNO                                  VA00000C9EG
D952GAZZANIGA                                         BG24025C2GA
D958GAZZOLA                                           PC29010H6AY
D956GAZZO PADOVANO                                    PD00000D3BR
D957GAZZO VERONESE                                    VR37060D6BW
D959GAZZUOLO                                          MN46010C6BC
D960GELA                                              CL93012U3AG
D962GEMONA DEL FRIULI                                 UD33013F6CG
D963GEMONIO                                           VA21036C9EH
D964GENAZZANO                                         RM00030M1CC
D965GENGA                                             AN60040K1AU
D966GENIVOLTA                                         CR26020C5EJ
D967GENOLA                                            CN12040A4EC
D968GENONI                                            NU08030V2BF
D969GENOVA                                            GE16100G1AA
D970GENURI                                            CA09050V1CE
D971GENZANO DI LUCANIA                                PZ85013S1BP
D972GENZANO DI ROMA                                   RM00045M1CD
D973GENZONE                                           PV27014C7EF
D975GERACE                                            RC89040T1BT
D977GERACI SICULO                                     PA90010U1BM
D974GERA LARIO                                        CO22010C4IA
D978GERANO                                            RM00025M1CE
D980GERENZAGO                                         PV27019C7EG
D981GERENZANO                                         VA21040C9EI
D982GERGEI                                            NU08030V2BG
D983GERMAGNANO                                        TO10070A1FS
D986GERMASINO                                         CO22010C4IC
D987GERMIGNAGA                                        VA21010C9EJ
D990GEROLA ALTA                                       SO23010C8BJ
D991GEROSA                                            BG24010C2GB
D993GERRE DE' CAPRIOLI                                CR26040C5EL
D994GESICO                                            CA09040V1CF
D995GESSATE                                           MI20060C1IJ
D996GESSOPALENA                                       CH66010N2BS
D997GESTURI                                           CA09050V1CG
D998GESUALDO                                          AV83040Q2BM
D999GHEDI                                             BS25016C3EZ
E001GHEMME                                            NO28074A5FP
E004GHILARZA                                          OR09030V4AW
E006GHISALBA                                          BG24050C2GC
E007GHISLARENGO                                       VC13030A6DE
E008GIACCIANO CON BARUCHELLA                          RO45020D4BK
E009GIAGLIONE                                         TO10050A1FT
E010GIANICO                                           BS25040C3FA
E012GIANO DELL'UMBRIA                                 PG06030L1BK
E011GIANO VETUSTO                                     CE81040Q4CB
E013GIARDINELLO                                       PA90040U1BN
E014GIARDINI-NAXOS                                    ME00000U6BJ
E015GIAROLE                                           AL15036A2EK
E016GIARRATANA                                        RG97010U7AE
E017GIARRE                                            CT95014U4AT
E019GIAVE                                             SS07010V3BH
E020GIAVENO                                           TO10094A1FU
E021GIAVERA DEL MONTELLO                              TV31040D5BJ
E022GIBA                                              CA09010V1CJ
E023GIBELLINA                                         TP91024U9AK
E025GIFFONE                                           RC89020T1BV
E027GIFFONI VALLE PIANA                               SA84095Q5CL
E029GIGNOD                                            AO11010B1BK
E030GILDONE                                           CB86010P1BL
E031GIMIGLIANO                                        CZ88045T2CJ
E033GINESTRA                                          PZ85020S1ED
E034GINESTRA DEGLI SCHIAVONI                          BN82020Q3BN
E036GINOSA                                            TA74013R5AH
E037GIOI                                              SA84056Q5CM
E040GIOIA DEI MARSI                                   AQ67055N1CA
E038GIOIA DEL COLLE                                   BA70023R1AY
E039GIOIA SANNITICA                                   CE81010Q4CC
E041GIOIA TAURO                                       RC89013T1BW
E044GIOIOSA IONICA                                    RC00000T1BX
E043GIOIOSA MAREA                                     ME98063U6BK
E045GIOVE                                             TR05024L2AR
E047GIOVINAZZO                                        BA70054R1AZ
E048GIOVO                                             TN38030E1GE
E049GIRASOLE                                          NU08040V2BH
E050GIRIFALCO                                         CZ88024T2CK
E051GIRONICO                                          CO22020C4ID
E052GISSI                                             CH66052N2BT
E053GIUGGIANELLO                                      LE73030R4BH
E054GIUGLIANO IN CAMPANIA                             NA80014Q1BL
E055GIULIANA                                          PA90030U1BP
E057GIULIANO DI ROMA                                  FR03020M2BQ
E056GIULIANO TEATINO                                  CH66010N2BU
E058GIULIANOVA                                        TE64022N4BB
E059GIUNCUGNANO                                       LU55030I5AR
E060GIUNGANO                                          SA84050Q5CN
E061GIURDIGNANO                                       LE73020R4BI
E062GIUSSAGO                                          PV27010C7EJ
E063GIUSSANO                                          MI20034C1IK
E064GIUSTENICE                                        SV17020G4BT
E065GIUSTINO                                          TN38086E1GF
E066GIUSVALLA                                         SV17010G4BU
E067GIVOLETTO                                         TO10040A1FV
E068GIZZERIA                                          CZ88040T2CL
E069GLORENZA                                          BZ39020E2CQ
E069GLURNS                                            BZ39020E2CQ
E071GODEGA DI SANT'URBANO                             TV00000D5BK
E072GODIASCO                                          PV27052C7EK
E074GODRANO                                           PA90030U1BQ
E078GOITO                                             MN46044C6BD
E079GOLASECCA                                         VA21010C9EK
E081GOLFERENZO                                        PV27047C7EM
M274GOLFO ARANCI                                      SS00000V3DK
E082GOMBITO                                           CR26020C5EM
E083GONARS                                            UD33050F6CH
E084GONI                                              CA09040V1CK
E086GONNESA                                           CA09010V1CM
E087GONNOSCODINA                                      OR09050V4AX
E085GONNOSFANADIGA                                    CA09035V1CL
D585GONNOSNO'                                         OR09050V4AY
E088GONNOSTRAMATZA                                    OR09093V4AZ
E089GONZAGA                                           MN46023C6BE
E090GORDONA                                           SO23020C8BK
E091GORGA                                             RM00030M1CG
E092GORGO AL MONTICANO                                TV31040D5BL
E093GORGOGLIONE                                       MT75010S2AM
E094GORGONZOLA                                        MI20064C1IL
E096GORIANO SICOLI                                    AQ67030N1CB
E098GORIZIA                                           GO34170F3AA
E100GORLAGO                                           BG24060C2GD
E101GORLA MAGGIORE                                    VA21050C9EL
E102GORLA MINORE                                      VA21055C9EM
E103GORLE                                             BG24020C2GE
E104GORNATE-OLONA                                     VA00000C9EN
E106GORNO                                             BG24020C2GF
E107GORO                                              FE44020H2AJ
E109GORRETO                                           GE16020G1BV
E111GORZEGNO                                          CN12070A4EE
E113GOSALDO                                           BL32020D2BC
E114GOSSOLENGO                                        PC29020H6AZ
E115GOTTASECCA                                        CN12072A4EF
